"","d_sub2","plot","clip","avg_t_ht3","std_ht3","max_ht3","min_ht3"
"1",1,"CT","CT",13.8305555555556,1.78544138126289,15.3166666666667,11.85
"2",1,"CT","PR",6.48611111111111,0.315054375083507,6.84166666666667,6.24166666666667
"3",1,"CT","PU",6.49722222222222,0.117062819476142,6.60833333333333,6.375
"4",1,"F10","CT",19.4083333333333,3.01635587717659,22.875,17.3833333333333
"5",1,"F10","PR",8.17777777777778,1.05837707696125,8.96666666666667,6.975
"6",1,"F10","PU",9.16944444444444,1.04921708024673,10.1166666666667,8.04166666666667
"7",1,"F2","CT",15.2333333333333,0.530330085889911,15.6083333333333,14.8583333333333
"8",1,"F2","PR",7.07083333333333,0.960486711111727,7.75,6.39166666666667
"9",1,"F2","PU",6.23333333333333,0.259272486435067,6.41666666666667,6.05
"10",1,"F5","CT",17.4055555555556,3.34608325481422,20.775,14.0833333333333
"11",1,"F5","PR",8.10555555555555,1.86082294618189,10.1916666666667,6.61666666666667
"12",1,"F5","PU",9.03888888888889,1.04921708024673,10.1666666666667,8.09166666666667
"13",2,"CT","CT",14.3611111111111,1.6706688059754,15.7916666666667,12.525
"14",2,"CT","PR",8.225,1.1108367716876,9.49166666666667,7.41666666666667
"15",2,"CT","PU",8.02777777777778,0.438537130485908,8.53333333333333,7.75
"16",2,"F10","CT",21.51,3.27905092976611,25.275,19.28
"17",2,"F10","PR",10.5152777777778,1.38035782733372,11.8375,9.08333333333333
"18",2,"F10","PU",10.9605555555556,0.895839664060319,11.9916666666667,10.3733333333333
"19",2,"F2","CT",17.1888888888889,0.568766534151204,17.8416666666667,16.8
"20",2,"F2","PR",8.72916666666667,0.712999337696435,9.23333333333333,8.225
"21",2,"F2","PU",7.60333333333333,0.714177848998412,8.10833333333333,7.09833333333333
"22",2,"F5","CT",18.6555555555556,4.2087981041482,22.9,14.4833333333333
"23",2,"F5","PR",9.365,1.9027414432865,11.25,7.445
"24",2,"F5","PU",11.2305555555556,1.1685203527602,12.3,9.98333333333333
"25",3,"CT","CT",14.9126984126984,1.74319755544492,16.9047619047619,13.6666666666667
"26",3,"CT","PR",8.97777777777778,1.84591014387463,11.1083333333333,7.85833333333333
"27",3,"CT","PU",8.59722222222222,0.838746308707449,9.40833333333333,7.73333333333333
"28",3,"F10","CT",20.3816666666667,1.71897336932381,22.2333333333333,18.8366666666667
"29",3,"F10","PR",10.9833333333333,1.48835759592019,12.0916666666667,9.29166666666667
"30",3,"F10","PU",11.1138888888889,1.64975447106981,13.0166666666667,10.0833333333333
"31",3,"F2","CT",16.5041666666667,0.359445947103161,16.7583333333333,16.25
"32",3,"F2","PR",8.94583333333333,0.159099025766974,9.05833333333333,8.83333333333333
"33",3,"F2","PU",7.7875,0.394801286162489,8.06666666666667,7.50833333333333
"34",3,"F5","CT",18.7333333333333,2.69505720409295,21.1,15.8
"35",3,"F5","PR",10.1472222222222,1.71574273950035,11.4,8.19166666666667
"36",3,"F5","PU",12.3611111111111,0.583650707314014,12.9333333333333,11.7666666666667
"37",4,"CT","CT",15.1666666666667,0.531964388950155,15.75,14.7083333333333
"38",4,"CT","PR",9.14444444444444,2.47706610357525,11.875,7.04166666666667
"39",4,"CT","PU",9.76666666666667,1.7791032385259,11.2833333333333,7.80833333333333
"40",4,"F10","CT",20.8361111111111,3.43794525735832,24.1666666666667,17.3
"41",4,"F10","PR",10.3680555555556,2.11787339836013,12.8125,9.08333333333333
"42",4,"F10","PU",11.3472222222222,1.41073102930255,12.9583333333333,10.3333333333333
"43",4,"F2","CT",16.6875,0.50086730334047,17.0416666666667,16.3333333333333
"44",4,"F2","PR",9.425,0.106066017177982,9.5,9.35
"45",4,"F2","PU",8.47916666666667,0.147313912747197,8.58333333333333,8.375
"46",4,"F5","CT",17.6111111111111,4.52027326279843,21.0833333333333,12.5
"47",4,"F5","PR",10.7916666666667,1.7113793981594,12.1666666666667,8.875
"48",4,"F5","PU",14.2222222222222,2.02687384723189,16.5416666666667,12.7916666666667
"49",5,"CT","CT",11.6805555555556,0.359236587677155,12,11.2916666666667
"50",5,"CT","PR",10.3472222222222,0.959540302745327,11.1666666666667,9.29166666666667
"51",5,"CT","PU",10.0972222222222,1.12602833659496,11.25,9
"52",5,"F10","CT",14.9361111111111,5.01692505794506,20.7083333333333,11.625
"53",5,"F10","PR",10.4166666666667,1.94900259392108,11.5833333333333,8.16666666666667
"54",5,"F10","PU",11.5277777777778,2.29935578739721,13.25,8.91666666666667
"55",5,"F2","CT",12.6666666666667,1.53206469257085,13.75,11.5833333333333
"56",5,"F2","PR",11.1041666666667,0.265165042944955,11.2916666666667,10.9166666666667
"57",5,"F2","PU",8.5625,0.147313912747197,8.66666666666667,8.45833333333333
"58",5,"F5","CT",14.55,2.64893846663149,16.275,11.5
"59",5,"F5","PR",10.0416666666667,1.6462288554282,11.25,8.16666666666667
"60",5,"F5","PU",11.0833333333333,0.86099909665716,11.875,10.1666666666667
"61",6,"CT","CT",12.4972222222222,0.862221506299817,13.4916666666667,11.9583333333333
"62",6,"CT","PR",4.8,0.876110406538151,5.375,3.79166666666667
"63",6,"CT","PU",10.4277777777778,1.2394088345898,11.8333333333333,9.49166666666667
"64",6,"F10","CT",14.5616666666667,6.95211538550198,22.125,8.45
"65",6,"F10","PR",6.22222222222222,1.70035399364477,8.08333333333333,4.75
"66",6,"F10","PU",12.4472222222222,2.38223070842187,13.9416666666667,9.7
"67",6,"F2","CT",14.4375,0.383016173142712,14.7083333333333,14.1666666666667
