"","date","block","plot","old_id","rep","t_num","g_ht","y_ht","max_ht","y_pct","clip_id","d_sub2","clip"
"59","6/19/2021",1,"CT",NA,10,3,11.5,NA,11.5,"-100","PU2",10,"PU"
"60","6/19/2021",1,"CT",NA,10,3,13,NA,13,"-100","CT2",10,"CT"
"61","6/19/2021",1,"F10",NA,1,2,5,NA,5,"-100","PR1",10,"PR"
"62","6/19/2021",1,"F10",NA,1,2,7.5,NA,7.5,"-100","PU1",10,"PU"
"63","6/19/2021",1,"F10",NA,1,2,12.1,NA,12.1,"-100","CT2",10,"CT"
"64","6/19/2021",1,"F10",NA,1,3,9.5,NA,9.5,"-100","PR2",10,"PR"
"65","6/19/2021",1,"F10",NA,1,3,10.5,NA,10.5,"-100","PU2",10,"PU"
"66","6/19/2021",1,"F10",NA,1,3,12,NA,12,"-100","CT1",10,"CT"
"67","6/19/2021",1,"F10",NA,2,2,2,NA,2,"-100","PR1",10,"PR"
"68","6/19/2021",1,"F10",NA,2,2,8.5,NA,8.5,"-100","PU1",10,"PU"
"69","6/19/2021",1,"F10",NA,2,2,9.2,NA,9.2,"-100","CT2",10,"CT"
"70","6/19/2021",1,"F10",NA,2,3,8,NA,8,"-100","PR2",10,"PR"
"71","6/19/2021",1,"F10",NA,2,3,10,NA,10,"-100","CT1",10,"CT"
"72","6/19/2021",1,"F10",NA,2,7,12.5,NA,12.5,"-100","PU2",10,"PU"
"73","6/19/2021",1,"F10",NA,3,2,11,NA,11,"-100","PR2",10,"PR"
"74","6/19/2021",1,"F10",NA,3,2,16.5,NA,16.5,"-100","PU1",10,"PU"
"75","6/19/2021",1,"F10",NA,3,3,5,NA,5,"-100","PR1",10,"PR"
"76","6/19/2021",1,"F10",NA,3,3,10,NA,10,"-100","CT1",10,"CT"
"77","6/19/2021",1,"F10",NA,3,3,14.3,NA,14.3,"-100","PU2",10,"PU"
"78","6/19/2021",1,"F10",NA,3,4,11.3,NA,11.3,"-100","CT2",10,"CT"
"79","6/19/2021",1,"F10",NA,4,2,14,NA,14,"-100","CT1",10,"CT"
"80","6/19/2021",1,"F10",NA,4,3,8.2,NA,8.2,"-100","PR1",10,"PR"
"81","6/19/2021",1,"F10",NA,4,3,8.5,NA,8.5,"-100","PR2",10,"PR"
"82","6/19/2021",1,"F10",NA,4,3,8.6,NA,8.6,"-100","CT2",10,"CT"
"83","6/19/2021",1,"F10",NA,4,3,17.5,NA,17.5,"-100","PU1",10,"PU"
"84","6/19/2021",1,"F10",NA,4,6,19,NA,19,"-100","PU2",10,"PU"
"85","6/19/2021",1,"F10",NA,5,2,5.5,NA,5.5,"-100","PR1",10,"PR"
"86","6/19/2021",1,"F10",NA,5,2,11,NA,11,"-100","CT2",10,"CT"
"87","6/19/2021",1,"F10",NA,5,2,15.2,NA,15.2,"-100","PU2",10,"PU"
"88","6/19/2021",1,"F10",NA,5,3,10,NA,10,"-100","PR2",10,"PR"
"89","6/19/2021",1,"F10",NA,5,3,11.5,NA,11.5,"-100","CT1",10,"CT"
"90","6/19/2021",1,"F10",NA,5,3,19,NA,19,"-100","PU1",10,"PU"
"91","6/19/2021",1,"F10",NA,6,1,6,NA,6,"-100","CT1",10,"CT"
"92","6/19/2021",1,"F10",NA,6,2,10.5,NA,10.5,"-100","CT2",10,"CT"
"93","6/19/2021",1,"F10",NA,6,2,11.5,NA,11.5,"-100","PU1",10,"PU"
"94","6/19/2021",1,"F10",NA,6,2,12.5,NA,12.5,"-100","PU2",10,"PU"
"95","6/19/2021",1,"F10",NA,6,3,5,NA,5,"-100","PR1",10,"PR"
"96","6/19/2021",1,"F10",NA,6,3,12.25,NA,12.25,"-100","PR2",10,"PR"
"97","6/19/2021",1,"F10",NA,7,1,9,NA,9,"-100","CT1",10,"CT"
"98","6/19/2021",1,"F10",NA,7,2,6.6,NA,6.6,"-100","PR1",10,"PR"
"99","6/19/2021",1,"F10",NA,7,2,12.5,NA,12.5,"-100","PU2",10,"PU"
"100","6/19/2021",1,"F10",NA,7,2,15.5,NA,15.5,"-100","PU1",10,"PU"
"101","6/19/2021",1,"F10",NA,7,3,8.5,NA,8.5,"-100","PR2",10,"PR"
"102","6/19/2021",1,"F10",NA,7,4,8.1,NA,8.1,"-100","CT2",10,"CT"
"103","6/19/2021",1,"F10",NA,8,2,4.3,NA,4.3,"-100","PR1",10,"PR"
"104","6/19/2021",1,"F10",NA,8,2,11.5,NA,11.5,"-100","PU1",10,"PU"
"105","6/19/2021",1,"F10",NA,8,2,16,NA,16,"-100","PU2",10,"PU"
"106","6/19/2021",1,"F10",NA,8,3,8.25,NA,8.25,"-100","PR2",10,"PR"
"107","6/19/2021",1,"F10",NA,8,3,10,NA,10,"-100","CT1",10,"CT"
"108","6/19/2021",1,"F10",NA,8,4,10.8,NA,10.8,"-100","CT2",10,"CT"
"109","6/19/2021",1,"F10",NA,9,1,7.5,NA,7.5,"-100","PR1",10,"PR"
"110","6/19/2021",1,"F10",NA,9,2,8,NA,8,"-100","PR2",10,"PR"
"111","6/19/2021",1,"F10",NA,9,2,10,NA,10,"-100","CT2",10,"CT"
"112","6/19/2021",1,"F10",NA,9,2,13.5,NA,13.5,"-100","PU1",10,"PU"
"113","6/19/2021",1,"F10",NA,9,3,10,NA,10,"-100","CT1",10,"CT"
"114","6/19/2021",1,"F10",NA,9,3,10,NA,10,"-100","PU2",10,"PU"
"115","6/19/2021",1,"F10",NA,10,2,6,NA,6,"-100","PR1",10,"PR"
"116","6/19/2021",1,"F10",NA,10,2,9.5,NA,9.5,"-100","PU2",10,"PU"
"117","6/19/2021",1,"F10",NA,10,2,9.6,NA,9.6,"-100","CT2",10,"CT"
"118","6/19/2021",1,"F10",NA,10,2,10.5,NA,10.5,"-100","PU1",10,"PU"
"119","6/19/2021",1,"F10",NA,10,2,11.5,NA,11.5,"-100","CT1",10,"CT"
"120","6/19/2021",1,"F10",NA,10,3,12,NA,12,"-100","PR2",10,"PR"
"121","6/19/2021",1,"F2",NA,1,1,9.5,NA,9.5,"-100","CT1",10,"CT"
"122","6/19/2021",1,"F2",NA,1,2,6,NA,6,"-100","PU2",10,"PU"
"123","6/19/2021",1,"F2",NA,1,2,6.5,NA,6.5,"-100","PR2",10,"PR"
"124","6/19/2021",1,"F2",NA,1,2,9.25,NA,9.25,"-100","PU1",10,"PU"
"125","6/19/2021",1,"F2",NA,1,3,8.5,NA,8.5,"-100","PR1",10,"PR"
"126","6/19/2021",1,"F2",NA,1,4,8.5,NA,8.5,"-100","CT2",10,"CT"
"127","6/19/2021",1,"F2",NA,2,1,5,NA,5,"-100","CT2",10,"CT"
"128","6/19/2021",1,"F2",NA,2,2,3,NA,3,"-100","PU2",10,"PU"
"129","6/19/2021",1,"F2",NA,2,2,8,NA,8,"-100","PR2",10,"PR"
"130","6/19/2021",1,"F2",NA,2,3,6,NA,6,"-100","PR1",10,"PR"
"131","6/19/2021",1,"F2",NA,2,3,12,NA,12,"-100","CT1",10,"CT"
