date,block,plot,old_id,rep,t_num,g_ht,y_ht,max_ht,y_pct
6/23/2019,1,CT,CT1,1,2,5,,,
6/23/2019,1,CT,CT1,2,3,12,,,
6/23/2019,1,CT,CT1,3,2,14,,,
6/23/2019,1,CT,CT1,4,3,10,,,
6/23/2019,1,CT,CT1,5,3,12.5,,,
6/23/2019,1,CT,CT1,6,2,13,,,
6/23/2019,1,CT,CT2,1,2,19,,,
6/23/2019,1,CT,CT2,2,3,13,,,
6/23/2019,1,CT,CT2,3,2,13,,,
6/23/2019,1,CT,CT2,4,3,12,,,
6/23/2019,1,CT,CT2,5,2,5,,,
6/23/2019,1,CT,CT2,6,3,12.5,,,
6/23/2019,1,CT,CL1,1,3,12,,,
6/23/2019,1,CT,CL1,2,2,8.5,,,
6/23/2019,1,CT,CL1,3,2,14,,,
6/23/2019,1,CT,CL1,4,2,10,,,
6/23/2019,1,CT,CL1,5,2,9,,,
6/23/2019,1,CT,CL1,6,2,7.5,,,
6/23/2019,1,CT,CL2,1,2,9,,,
6/23/2019,1,CT,CL2,2,2,7,,,
6/23/2019,1,CT,CL2,3,3,9.5,,,
6/23/2019,1,CT,CL2,4,2,8,,,
6/23/2019,1,CT,CL2,5,3,8,,,
6/23/2019,1,CT,CL2,6,3,9,,,
6/23/2019,1,CT,CL3,1,2,11,,,
6/23/2019,1,CT,CL3,2,3,6.5,,,
6/23/2019,1,CT,CL3,3,2,6,,,
6/23/2019,1,CT,CL3,4,3,8,,,
6/23/2019,1,CT,CL3,5,2,11,,,
6/23/2019,1,CT,CL3,6,2,13,,,
6/23/2019,1,CT,CL4,1,2,9.5,,,
6/23/2019,1,CT,CL4,2,3,10,,,
6/23/2019,1,CT,CL4,3,2,10,,,
6/23/2019,1,CT,CL4,4,2,11.5,,,
6/23/2019,1,CT,CL4,5,2,14,,,
6/23/2019,1,CT,CL4,6,3,10,,,
6/21/2019,1,F2,CT1,1,2,14.5,,,
6/21/2019,1,F2,CT1,2,1,8.5,,,
6/21/2019,1,F2,CT1,3,3,15.5,,,
6/21/2019,1,F2,CT1,4,2,11.5,,,
6/21/2019,1,F2,CT1,5,2,12,,,
6/21/2019,1,F2,CT1,6,3,15.5,,,
6/21/2019,1,F2,CT2,1,2,12.5,,,
6/21/2019,1,F2,CT2,2,2,12,,,
6/21/2019,1,F2,CT2,3,1,5,,,
6/21/2019,1,F2,CT2,4,2,10.5,,,
6/21/2019,1,F2,CT2,5,2,11,,,
6/21/2019,1,F2,CT2,6,1,10.5,,,
6/21/2019,1,F2,CL1,1,3,12.5,,,
6/21/2019,1,F2,CL1,2,2,8,,,
6/21/2019,1,F2,CL1,3,2,9,,,
6/21/2019,1,F2,CL1,4,2,8,,,
6/21/2019,1,F2,CL1,5,3,11,,,
6/21/2019,1,F2,CL1,6,3,10,,,
6/21/2019,1,F2,CL2,1,2,4,,,
6/21/2019,1,F2,CL2,2,3,9,,,
6/21/2019,1,F2,CL2,3,2,8,,,
6/21/2019,1,F2,CL2,4,3,8,,,
6/21/2019,1,F2,CL2,5,2,7.5,,,
6/21/2019,1,F2,CL2,6,2,6.5,,,
6/21/2019,1,F2,CL3,1,2,10,,,
6/21/2019,1,F2,CL3,2,2,10.5,,,
6/21/2019,1,F2,CL3,3,3,13,,,
6/21/2019,1,F2,CL3,4,3,12,,,
6/21/2019,1,F2,CL3,5,2,13.5,,,
6/21/2019,1,F2,CL3,6,3,13,,,
6/21/2019,1,F2,CL4,1,3,13,,,
6/21/2019,1,F2,CL4,2,2,12,,,
6/21/2019,1,F2,CL4,3,2,10.5,,,
6/21/2019,1,F2,CL4,4,2,7,,,
6/21/2019,1,F2,CL4,5,2,9,,,
6/21/2019,1,F2,CL4,6,2,7.5,,,
6/23/2019,1,F5,CT1,1,2,11,,,
