date,block,plot,old_id,rep,t_num,g_ht,y_ht,max_ht,y_pct
7/31/2020,1,CT,CL1,1,3,3,0,3,-100
7/31/2020,1,CT,CL1,2,4,3,0,3,-100
7/31/2020,1,CT,CL1,3,1,1.5,0,1.5,-100
7/31/2020,1,CT,CL1,4,2,4,0,4,-100
7/31/2020,1,CT,CL1,5,3,4.5,0,4.5,-100
7/31/2020,1,CT,CL1,6,3,2.5,0,2.5,-100
7/31/2020,1,CT,CL2,1,2,2,0,2,-100
7/31/2020,1,CT,CL2,2,3,3,0,3,-100
7/31/2020,1,CT,CL2,3,3,1.5,0,1.5,-100
7/31/2020,1,CT,CL2,4,2,2,0,2,-100
7/31/2020,1,CT,CL2,5,3,3,0,3,-100
7/31/2020,1,CT,CL2,6,1,1.5,0,1.5,-100
7/31/2020,1,CT,CL3,1,1,1,0,1,-100
7/31/2020,1,CT,CL3,2,2,9.5,0,9.5,-100
7/31/2020,1,CT,CL3,3,2,12,12.5,12.5,4
7/31/2020,1,CT,CL3,4,2,11.5,0,11.5,-100
7/31/2020,1,CT,CL3,5,4,16,0,16,-100
7/31/2020,1,CT,CL3,6,3,13.5,0,13.5,-100
7/31/2020,1,CT,CL4,1,2,12,12.5,12.5,4
7/31/2020,1,CT,CL4,2,3,15,0,15,-100
7/31/2020,1,CT,CL4,3,4,16.5,0,16.5,-100
7/31/2020,1,CT,CL4,4,2,12.5,14,14,11
7/31/2020,1,CT,CL4,5,3,11,0,11,-100
7/31/2020,1,CT,CL4,6,3,19.5,0,19.5,-100
7/31/2020,1,CT,CT1,1,2,16.5,0,16.5,-100
7/31/2020,1,CT,CT1,2,5,19.5,0,19.5,-100
7/31/2020,1,CT,CT1,3,3,16,16.5,16.5,3
7/31/2020,1,CT,CT1,4,4,10.5,13,13,19
7/31/2020,1,CT,CT1,5,2,13.5,14,14,4
7/31/2020,1,CT,CT1,6,4,20.5,0,20.5,-100
7/31/2020,1,CT,CT2,1,2,16,16.5,16.5,3
7/31/2020,1,CT,CT2,2,3,19,0,19,-100
7/31/2020,1,CT,CT2,3,3,28.5,0,28.5,-100
7/31/2020,1,CT,CT2,4,3,18,20,20,10
7/31/2020,1,CT,CT2,5,3,21,21.5,21.5,2
7/31/2020,1,CT,CT2,6,3,22,0,22,-100
7/31/2020,1,F10,CL1,1,2,21,23,23,9
7/31/2020,1,F10,CL1,2,2,14.5,20,20,28
7/31/2020,1,F10,CL1,3,4,15,16,16,6
7/31/2020,1,F10,CL1,4,2,15,19,19,21
7/31/2020,1,F10,CL1,5,2,18,21,21,14
7/31/2020,1,F10,CL1,6,2,13,13.5,13.5,4
7/31/2020,1,F10,CL2,1,3,13,20,20,35
7/31/2020,1,F10,CL2,2,3,10.5,22.5,22.5,53
7/31/2020,1,F10,CL2,3,2,15.5,20.5,20.5,24
7/31/2020,1,F10,CL2,4,2,15,22.5,22.5,33
7/31/2020,1,F10,CL2,5,1,5.5,0,5.5,-100
7/31/2020,1,F10,CL2,6,2,6,7,7,14
7/31/2020,1,F10,CL3,1,2,5,0,5,-100
7/31/2020,1,F10,CL3,2,3,5.5,0,5.5,-100
7/31/2020,1,F10,CL3,3,3,6.5,0,6.5,-100
7/31/2020,1,F10,CL3,4,3,4,0,4,-100
7/31/2020,1,F10,CL3,5,4,2.5,0,2.5,-100
7/31/2020,1,F10,CL3,6,4,7,0,7,-100
7/31/2020,1,F10,CL4,1,3,4.5,0,4.5,-100
7/31/2020,1,F10,CL4,2,3,5,0,5,-100
7/31/2020,1,F10,CL4,3,4,5.5,0,5.5,-100
7/31/2020,1,F10,CL4,4,3,5.5,0,5.5,-100
7/31/2020,1,F10,CL4,5,2,3,0,3,-100
7/31/2020,1,F10,CL4,6,3,5,0,5,-100
7/31/2020,1,F10,CT1,1,4,5.5,15,15,63
7/31/2020,1,F10,CT1,2,2,12,0,12,-100
7/31/2020,1,F10,CT1,3,3,17,18.5,18.5,8
7/31/2020,1,F10,CT1,4,3,12.5,0,12.5,-100
7/31/2020,1,F10,CT1,5,1,7,0,7,-100
7/31/2020,1,F10,CT1,6,3,14,16,16,13
7/31/2020,1,F10,CT2,1,5,16.5,20.5,20.5,20
7/31/2020,1,F10,CT2,2,1,2,0,2,-100
7/31/2020,1,F10,CT2,3,4,16.5,18,18,8
7/31/2020,1,F10,CT2,4,4,16,16.5,16.5,3
7/31/2020,1,F10,CT2,5,2,14.5,0,14.5,-100
7/31/2020,1,F10,CT2,6,3,12,0,12,-100
7/31/2020,1,F2,CL1,1,2,14.5,16,16,9
7/31/2020,1,F2,CL1,2,3,4,11,11,64
7/31/2020,1,F2,CL1,3,4,5,11.5,11.5,57
7/31/2020,1,F2,CL1,4,5,3,11.5,11.5,74
7/31/2020,1,F2,CL1,5,3,0,8.5,8.5,100
7/31/2020,1,F2,CL1,6,4,12,15,15,20
7/31/2020,1,F2,CL2,1,6,8,8.5,8.5,6
7/31/2020,1,F2,CL2,2,3,9,0,9,-100
7/31/2020,1,F2,CL2,3,3,6,0,6,-100
7/31/2020,1,F2,CL2,4,3,10.5,0,10.5,-100
7/31/2020,1,F2,CL2,5,3,8.5,0,8.5,-100
7/31/2020,1,F2,CL2,6,3,10,0,10,-100
7/31/2020,1,F2,CL3,1,3,4.5,0,4.5,-100
7/31/2020,1,F2,CL3,2,2,3,0,3,-100
7/31/2020,1,F2,CL3,3,2,3.5,0,3.5,-100
7/31/2020,1,F2,CL3,4,5,3.5,0,3.5,-100
7/31/2020,1,F2,CL3,5,2,1.5,0,1.5,-100
7/31/2020,1,F2,CL3,6,2,2.5,0,2.5,-100
7/31/2020,1,F2,CL4,1,3,3,0,3,-100
7/31/2020,1,F2,CL4,2,2,4.5,0,4.5,-100
7/31/2020,1,F2,CL4,3,3,3.5,0,3.5,-100
7/31/2020,1,F2,CL4,4,2,3,3,3,0
7/31/2020,1,F2,CL4,5,3,4.5,0,4.5,-100
7/31/2020,1,F2,CL4,6,3,5,5.2,5.2,4
7/31/2020,1,F2,CT1,1,2,17,19,19,11
7/31/2020,1,F2,CT1,2,2,15.5,18.5,18.5,16
7/31/2020,1,F2,CT1,3,2,20,20.5,20.5,2
7/31/2020,1,F2,CT1,4,3,16,21,21,24
7/31/2020,1,F2,CT1,5,2,9,18.5,18.5,51
7/31/2020,1,F2,CT1,6,2,8,21,21,62
7/31/2020,1,F2,CT2,1,4,18,19.5,19.5,8
7/31/2020,1,F2,CT2,2,3,17,17.5,17.5,3
7/31/2020,1,F2,CT2,3,2,6,6.5,6.5,8
7/31/2020,1,F2,CT2,4,4,16,16.5,16.5,3
7/31/2020,1,F2,CT2,5,2,13,14.5,14.5,10
7/31/2020,1,F2,CT2,6,2,13.5,15.5,15.5,13
7/31/2020,1,F5,CL1,1,8,16.5,19,19,13
7/31/2020,1,F5,CL1,2,4,15,16.5,16.5,9
7/31/2020,1,F5,CL1,3,2,11,12.5,12.5,12
7/31/2020,1,F5,CL1,4,3,14,16,16,13
7/31/2020,1,F5,CL1,5,3,9,18,18,50
7/31/2020,1,F5,CL1,6,2,6,0,6,-100
7/31/2020,1,F5,CL2,1,4,10,11.5,11.5,13
7/31/2020,1,F5,CL2,2,2,6,11.5,11.5,48
7/31/2020,1,F5,CL2,3,2,6.5,9.5,9.5,32
7/31/2020,1,F5,CL2,4,3,15.5,19.5,19.5,21
7/31/2020,1,F5,CL2,5,2,15.5,17.5,17.5,11
7/31/2020,1,F5,CL2,6,3,18.5,19,19,3
7/31/2020,1,F5,CL3,1,2,6.5,7,7,7
7/31/2020,1,F5,CL3,2,5,12,13,13,8
7/31/2020,1,F5,CL3,3,3,11,0,11,-100
7/31/2020,1,F5,CL3,4,2,8.5,9,9,6
7/31/2020,1,F5,CL3,5,2,6,7.5,7.5,20
7/31/2020,1,F5,CL3,6,3,6.5,9,9,28
7/31/2020,1,F5,CL4,1,3,2.5,0,2.5,-100
7/31/2020,1,F5,CL4,2,2,2.5,0,2.5,-100
7/31/2020,1,F5,CL4,3,3,4,0,4,-100
7/31/2020,1,F5,CL4,4,1,1,0,1,-100
7/31/2020,1,F5,CL4,5,3,2,0,2,-100
7/31/2020,1,F5,CL4,6,3,1.5,0,1.5,-100
7/31/2020,1,F5,CT1,1,2,5.5,0,5.5,-100
7/31/2020,1,F5,CT1,2,3,15,21.5,21.5,30
7/31/2020,1,F5,CT1,3,4,14.5,16,16,9
7/31/2020,1,F5,CT1,4,2,17.5,0,17.5,-100
7/31/2020,1,F5,CT1,5,3,9.5,17,17,44
7/31/2020,1,F5,CT1,6,2,10.5,16,16,34
7/31/2020,1,F5,CT2,1,3,15,17.5,17.5,14
7/31/2020,1,F5,CT2,2,3,10.5,11.5,11.5,9
7/31/2020,1,F5,CT2,3,3,10.5,11,11,5
7/31/2020,1,F5,CT2,4,3,8,10.5,10.5,24
7/31/2020,1,F5,CT2,5,1,9,9.5,9.5,5
7/31/2020,1,F5,CT2,6,2,9.5,10.5,10.5,10
7/31/2020,2,CT,CL1,1,4,3.5,0,3.5,-100
7/31/2020,2,CT,CL1,2,4,3.5,0,3.5,-100
7/31/2020,2,CT,CL1,3,3,3.5,0,3.5,-100
7/31/2020,2,CT,CL1,4,2,4,0,4,-100
7/31/2020,2,CT,CL1,5,3,4,5,5,20
7/31/2020,2,CT,CL1,6,2,3.5,0,3.5,-100
7/31/2020,2,CT,CL2,1,3,3.5,0,3.5,-100
7/31/2020,2,CT,CL2,2,6,7,0,7,-100
7/31/2020,2,CT,CL2,3,4,5,0,5,-100
7/31/2020,2,CT,CL2,4,4,7,0,7,-100
7/31/2020,2,CT,CL2,5,3,6,0,6,-100
7/31/2020,2,CT,CL2,6,2,3,0,3,-100
7/31/2020,2,CT,CL3,1,4,11,0,11,-100
7/31/2020,2,CT,CL3,2,3,12.5,13.5,13.5,7
