date,block,plot,old_id,clip_id,rep,t_num,g_ht,y_ht,max_ht,y_pct
6/19/2021,1,F2,,PU1,10,2,7,,7,-100
6/19/2021,1,F2,,PU2,1,2,6,,6,-100
6/19/2021,1,F2,,PU2,2,2,3,,3,-100
6/19/2021,1,F2,,PU2,3,3,7,,7,-100
6/19/2021,1,F2,,PU2,4,2,5,,5,-100
6/19/2021,1,F2,,PU2,5,2,7.5,,7.5,-100
6/19/2021,1,F2,,PU2,6,2,7.5,,7.5,-100
6/19/2021,1,F2,,PU2,7,1,5.5,,5.5,-100
6/19/2021,1,F2,,PU2,8,4,10,,10,-100
6/19/2021,1,F2,,PU2,9,3,7,,7,-100
6/19/2021,1,F2,,PU2,10,4,3.5,,3.5,-100
6/19/2021,1,F2,,PR1,1,3,8.5,,8.5,-100
6/19/2021,1,F2,,PR1,2,3,6,,6,-100
6/19/2021,1,F2,,PR1,3,3,5,,5,-100
6/19/2021,1,F2,,PR1,4,3,5.5,,5.5,-100
6/19/2021,1,F2,,PR1,5,2,5.5,,5.5,-100
6/19/2021,1,F2,,PR1,6,3,9,,9,-100
6/19/2021,1,F2,,PR1,7,2,5.5,,5.5,-100
6/19/2021,1,F2,,PR1,8,2,8.5,,8.5,-100
6/19/2021,1,F2,,PR1,9,2,7.5,,7.5,-100
6/19/2021,1,F2,,PR1,10,3,8.5,,8.5,-100
6/19/2021,1,F2,,PR2,1,2,6.5,,6.5,-100
6/19/2021,1,F2,,PR2,2,2,8,,8,-100
6/19/2021,1,F2,,PR2,3,2,5.5,,5.5,-100
6/19/2021,1,F2,,PR2,4,3,7,,7,-100
6/19/2021,1,F2,,PR2,5,2,8.5,,8.5,-100
6/19/2021,1,F2,,PR2,6,1,6.5,,6.5,-100
6/19/2021,1,F2,,PR2,7,3,7,,7,-100
6/19/2021,1,F2,,PR2,8,3,6.5,,6.5,-100
6/19/2021,1,F2,,PR2,9,2,7,,7,-100
6/19/2021,1,F2,,PR2,10,4,6,,6,-100
6/19/2021,1,F5,,CT1,1,3,18,,18,-100
6/19/2021,1,F5,,CT1,2,3,10.5,,10.5,-100
6/19/2021,1,F5,,CT1,3,3,16,,16,-100
6/19/2021,1,F5,,CT1,4,2,12,,12,-100
6/19/2021,1,F5,,CT1,5,2,16,,16,-100
6/19/2021,1,F5,,CT1,6,2,9,,9,-100
6/19/2021,1,F5,,CT1,7,2,6,,6,-100
6/19/2021,1,F5,,CT1,8,3,16,,16,-100
6/19/2021,1,F5,,CT1,9,1,7,,7,-100
6/19/2021,1,F5,,CT1,10,2,12,,12,-100
6/19/2021,1,F5,,CT2,1,2,12,,12,-100
6/19/2021,1,F5,,CT2,2,2,9.5,,9.5,-100
6/19/2021,1,F5,,CT2,3,1,3,,3,-100
6/19/2021,1,F5,,CT2,4,2,7,,7,-100
6/19/2021,1,F5,,CT2,5,1,5,,5,-100
6/19/2021,1,F5,,CT2,6,2,8.5,,8.5,-100
6/19/2021,1,F5,,CT2,7,3,12,,12,-100
6/19/2021,1,F5,,CT2,8,2,11,,11,-100
6/19/2021,1,F5,,CT2,9,3,10,,10,-100
6/19/2021,1,F5,,CT2,10,2,11,,11,-100
6/19/2021,1,F5,,PU1,1,2,5,,5,-100
6/19/2021,1,F5,,PU1,2,2,12.5,,12.5,-100
6/19/2021,1,F5,,PU1,3,2,6.5,,6.5,-100
6/19/2021,1,F5,,PU1,4,2,9.5,,9.5,-100
6/19/2021,1,F5,,PU1,5,3,12,,12,-100
6/19/2021,1,F5,,PU1,6,2,7.5,,7.5,-100
6/19/2021,1,F5,,PU1,7,1,9.5,,9.5,-100
6/19/2021,1,F5,,PU1,8,2,12,,12,-100
6/19/2021,1,F5,,PU1,9,3,8.5,,8.5,-100
6/19/2021,1,F5,,PU1,10,2,12,,12,-100
6/19/2021,1,F5,,PU2,1,2,13.5,,13.5,-100
6/19/2021,1,F5,,PU2,2,1,9,,9,-100
6/19/2021,1,F5,,PU2,3,2,9.5,,9.5,-100
6/19/2021,1,F5,,PU2,4,3,11.5,,11.5,-100
6/19/2021,1,F5,,PU2,5,2,7,,7,-100
6/19/2021,1,F5,,PU2,6,2,12,,12,-100
6/19/2021,1,F5,,PU2,7,3,14,,14,-100
